Word,Concrete_rating
bullfrog,4.9
bullish,2.3
bullring,4.68
bumble,2.44
bumblebee,4.96
bummed,2.37
bummer,1.97
bumming,2.12
bumpy,3.76
bungalow,4.63
bunghole,3.96
bungle,1.84
bunion,4.64
bunkhouse,4.37
bunkmate,4
bunt,3.61
bunting,4
bureaucracy,1.64
bureaucrat,3.86
bureaucratic,2.21
burger,4.93
burglarize,3.82
burgundy,4.04
buried,3.93
burlap,4.78
burn,4.11
burning,3.85
burr,3.93
burrow,3.67
bus,4.9
bushed,2.19
bushel,4.3
bushman,3.83
busied,2.42
busily,2.2
businessman,4.47
businesswoman,4.35
busman,3.91
busy,2.41
buttercup,4.71
butterfat,4.48
buttermilk,4.68
butternut,4.6
butterscotch,4.58
buttock,4.79
buttocks,4.83
button,4.96
buttoned,4.11
buttonhole,4.7
buttonhook,4.04
buttress,4.25
buzzer,4.66
bygone,1.69
bystander,4.17
cabby,3.91
cabdriver,4.79
cabinet,4.89
cable,4.74
caboose,4.96
cackle,3.63
cacti,4.5
cactus,5
cadaver,4.48
caddie,4.37
cadillac,4.93
cafeteria,4.71
caffeine,4.04
cagey,2.04
cahoots,1.96
calamity,2
calculator,4.86
calender,4.82
calfskin,4.53
calipers,4.78
calligrapher,4.28
calligraphy,4.32
callousness,1.93
calmer,2.19
calmly,2.3
calmness,1.83
calves,4.66
camaraderie,2.19
came,1.85
camera,5
cameraman,4.63
camisole,4.81
camouflage,4.24
camp,4.35
campground,4.7
camping,4
campsite,4.55
can,4.55
cancel,2.41
cancer,3.86
candelabra,4.88
candid,1.81
candidacy,2.39
candidate,3.81
candidly,1.67
candle,4.86
candlelight,4.48
candlepower,3.6
candlestick,4.93
candor,1.96
candy,4.83
cannabis,4.69
cannibal,3.82
canning,3.74
cannonball,4.8
cannot,2.33
canoe,4.86
canoeing,4.21
cantaloupe,4.76
canteen,4.88
canvass,4.08
capability,1.93
capable,2.21
capacitor,3.96
capes,4.81
capital,4.1
capitalize,2.29
capitol,4.31
capitulation,1.78
captain,4.19
captivate,1.64
car,4.89
caramel,4.73
carat,3.93
caravan,4.37
carbohydrate,3.59
carbonation,3.89
carcass,4.46
cardboard,4.9
cardigan,4.96
cardiogram,3.96
cardiograph,4.17
care,2.33
carefree,1.88
careful,1.86
carefully,2.15
careless,1.78
carelessness,1.76
caress,4.14
caretaker,4.24
careworn,2.28
caribou,4.92
caricature,3.89
caricaturist,3.81
caring,1.77
carload,3.96
carnality,2
carnation,3.93
carnival,4.68
carnivore,4.17
carol,3.93
carouse,2.42
carousing,2.29
carpenter,4.41
carpet,4.96
carpetbag,4.52
carpetbagger,3.69
carpeting,4.21
carport,4.79
carriage,4.86
carrier,4.2
carryall,3.77
carrying,3.67
carsick,3.75
carsickness,3.58
cartilage,4.71
cartographer,3.81
cartoon,4.33
cartoonist,3.93
cartridge,4.78
cartwheel,4.63
carving,3.96
cascade,3.83
casebook,4.48
caseworker,4.37
cashmere,4.72
casserole,4.87
caster,3.96
castle,4.96
casual,2.03
casually,1.63
casualness,2.2
catacomb,4.67
catalogue,4.36
catapult,4.43
cataract,4.38
catchy,1.79
categorically,1.74
caterer,4.37
catering,3.81
caterpillar,4.87
catfish,4.85
cathedral,4.86
catnap,3.72
catnip,4.68
catsup,4.85
cattle,4.64
catty,1.9
catwalk,4.15
caucasian,4.11
cauldron,4.61
cauliflower,5
causal,2.14
causality,2.04
causation,1.81
causative,1.54
cause,2.43
causeway,4.31
causing,1.55
cauterize,3.63
caution,2.04
cautious,1.81
cavalierly,1.91
cavalryman,4.46
caveat,2
caveman,4.3
caviar,4.7
caving,2.38
cayenne,4.22
cease,2.39
ceaseless,1.84
ceaselessly,1.86
ceiling,4.85
celibacy,2.4
cellist,4.31
cellophane,4.54
celluloid,3.74
cellulose,4.33
cemetery,4.93
censure,2.44
centaur,3.73
centerline,4
centimeter,4.13
centipede,4.79
centrifuge,4.38
ceramics,4.62
cereal,4.83
cerebellum,4.57
cerebral,2.22
cerebrally,1.74
cerebrum,4.21
ceremonial,2.24
ceremony,3.57
certainty,1.59
certifiable,2.07
certificate,4.59
certification,3.72
cervical,3.59
cervix,4.62
chairman,4.31
chairperson,4.58
chairwoman,4.41
chalet,4.36
chalice,4.83
chalky,4.14
chambermaid,4.4
chameleon,4.68
champagne,4.82
chance,1.64
chancellor,4.2
chandelier,4.79
channel,4.18
channeled,2.35
chanter,3.96
chanting,3.78
chaotic,2.08
chaperon,4
chaperone,4.28
chaplain,4.33
charade,1.93
charcoal,4.85
charisma,2.07
charismatic,1.77
charitably,1.96
charmingly,2.14
charting,3.75
chartreuse,3.92
chasm,4.24
chaste,2.14
chasten,2.48
chastened,2.04
chastisement,2.11
chastity,2
chauffeur,4.43
chauvinism,1.86
cheapen,1.93
cheaply,2.14
cheapness,1.72
cheat,2.23
checkbook,4.97
checker,4.04
checkerboard,4.96
checklist,4.61
checkout,3.96
checkpoint,3.62
checkroom,3.58
cheddar,4.46
cheekbone,4.71
cheeky,2.03
cheerful,2.34
cheerfully,2.2
cheerily,2.14
cheering,3.63
cheerleader,4.9
cheerless,2.15
cheesecake,4.97
cheesecloth,4.8
chemicals,4.14
chemistry,3.64
chemotherapy,4.35
cherish,1.73
cherub,3.85
chessboard,4.68
chest,4.93
chestnut,4.7
chevy,4.48
chew,3.93
chic,2.26
chickenfeed,4.78
chickenpox,4.56
chicory,4.05
chiding,2.19
chiefly,1.9
chiffon,4.45
chihuahua,4.38
child,4.78
childbirth,4.04
chimpanzee,4.96
chinaware,4.82
chinchilla,4.72
chipmunk,4.97
chiropractor,4.86
chirp,4
chivalry,1.88
chloride,3.74
chloroform,3.78
chlorophyll,4.07
choirboy,4.56
choking,4.33
chomp,3.75
choosing,2.17
choosy,1.6
chophouse,4.57
choppers,3.93
chopstick,4.93
chopsticks,5
chord,4.29
choreographer,4.23
chorus,4.03
chose,2.48
chosen,2.33
chowder,4.7
chrome,4.5
chromosome,4.11
chronic,2.17
chronograph,4.19
chronologically,2.17
chronology,2.29
chronometer,4.11
chrysanthemum,4.57
chuck,3.82
chug,3.68
chum,3.81
chummy,1.93
churchgoer,3.56
churchyard,4.93
cigarette,4.88
circa,2.12
circuit,3.83
circuitous,2.29
circuitry,3.85
circumcise,3.87
circumcision,4.13
circumference,3.96
circumscribed,1.74
circumstance,1.77
circumvent,2.25
citizen,4.43
city,4.79
civic,2.45
civics,2.21
civility,1.62
civilize,1.9
civilized,1.93
civilizing,2
civilly,1.73
clambake,3.62
clamp,4.53
clamshell,4.82
clang,3.96
clanking,3.78
clapped,3.88
clapping,4.32
clarify,2.07
clarinet,4.92
clarity,2
clasp,4.41
clasping,3.63
class,3.85
classed,2.12
classical,2.18
classically,1.85
classify,2.41
classless,1.81
classmate,4.32
classroom,4.76
classy,2.12
claustrophobic,2
cleaning,3.71
cleanness,3.61
clearance,2.19
clearing,3.79
clearly,2.04
clearness,2.48
cleat,4.5
cleavage,4.64
cleavers,4.56
clef,4.35
cleft,4.31
clench,4.25
clergy,4.03
clergyman,4.73
cleric,4.39
clever,1.79
cleverly,2.14
cleverness,2.07
cliche,2.33
climb,4.11
climbing,4.07
clincher,2.15
clingy,2.45
clinic,4.24
clinically,2.18
clinking,3.74
clip,4.37
clipboard,4.93
clipper,4.3
clipping,4
clips,4.3
clitoris,4.93
cloak,4.71
cloakroom,4.48
clobber,3.55
clone,4.34
closely,2.46
closeness,2.39
closure,1.78
clothes,4.76
clothesline,4.86
clothespin,4.41
clothier,3.69
clothing,4.43
cloudburst,3.78
cloudiness,3.68
cloudy,4
clover,4.69
cloverleaf,4.86
clubfoot,4.46
clubhouse,4.61
clueless,1.97
clumsily,2.3
coachman,4.12
coagulation,3.62
coalmine,4.8
coaster,4.68
coastguard,4.45
coastline,4.54
coated,3.59
coauthor,3.79
coaxial,3.76
cobblestone,4.79
cobweb,4.92
cocaine,4.52
cockatoo,4.73
cockeyed,3.76
cockfight,4.43
cocking,3.65
cockroach,4.96
cocktail,4.4
cocky,2.31
coconut,4.79
codpiece,4.22
coerce,2.04
coercion,1.71
coercive,2.07
coexist,2.25
coffeepot,4.64
coffer,3.8
coffin,4.86
cognitive,1.63
cogwheel,4.69
coherency,1.96
coherent,2
cohesion,2.16
coil,4.56
coiled,3.83
coinage,3.88
coincide,2.26
coincident,1.92
coincidental,1.7
coincidentally,1.48
coke,4.83
colander,4.21
coleslaw,4.67
coliseum,4.93
collage,4.6
collagen,3.67
collapse,3.67
collarbone,4.85
collate,2.44
colleague,3.79
collection,4.04
collector,4.1
college,4.62
collie,4.77
collision,3.61
colon,4.66
colonist,3.8
colony,3.77
coloring,3.59
colors,4.17
colossally,2.15
columbine,3.68
column,4.48
columnist,4.14
comb,5
combative,2.28
combing,3.72
combustion,3.86
comeback,2.23
comedienne,3.92
comes,2.27
comfortably,2.1
comforter,4.7
comforting,2.41
commandant,3.77
commandeer,3.7
commander,4.31
commando,3.9
commemorate,2.2
commend,2.14
commendable,2.21
commendation,2.44
commensurate,2.04
commentate,2.41
commentator,4.15
commercialism,2.07
commiserate,1.9
commissary,3.58
commit,2.17
committee,4.14
committeewoman,4.33
commode,4.54
commodore,3.88
commonly,1.73
commonness,1.74
communism,1.86
companion,3.75
company,4.11
comparable,2.31
comparative,1.74
comparison,2
compartment,3.57
compass,4.66
compasses,4.35
compatible,2.31
compatibly,1.64
compel,1.83
compellingly,1.42
competency,1.81
competent,1.93
competently,2.22
competition,3.86
compiler,2.46
complacent,2.17
complement,2
completion,2.33
complex,1.96
complexity,1.87
compliance,1.96
compliant,2.28
complicate,1.65
complication,1.86
comply,2.19
composer,4.37
composure,2.43
comprehend,1.86
comprehension,1.78
compress,3.97
compressor,4.39
comprise,1.89
comprised,2.28
compromise,1.8
compromising,1.83
compulsively,2.18
compulsory,1.96
compute,2.39
comradeship,2.2
concede,1.96
conceded,2.22
conceit,2.1
conceited,1.62
conceive,2.04
concentration,2.1
concept,1.41
conceptual,1.26
concern,1.7
concerto,3.75
conch,4.52
concierge,3.89
concise,1.88
concisely,1.79
conclude,1.78
concluding,2.21
